RK,TEAM,BARTHAG
1,Villanova,0.9616
,"   2 seed, CHAMPS",1
2,Kansas,0.9598
,"   1 seed, Elite Eight",2
3,Virginia,0.9538
,"   1 seed, Elite Eight",3
4,West Virginia,0.9458
,"   3 seed, R64",4
5,Kentucky,0.9452
,"   4 seed, R32",5
6,Michigan St.,0.9435
,"   2 seed, R64",6
7,North Carolina,0.9408
,"   1 seed, Finals",7
8,Oklahoma,0.9384
,"   2 seed, Final Four",8
9,Purdue,0.9313
,"   5 seed, R64",9
11,Miami FL,0.9256
,"   3 seed, Sweet Sixteen",11
12,Xavier,0.9216
,"   2 seed, R32",12
13,Vanderbilt,0.9187
,"   11 seed, R68",13
14,Wichita St.,0.9187
,"   11 seed, R32",14
15,Duke,0.9183
,"   4 seed, Sweet Sixteen",15
16,Indiana,0.9117
,"   5 seed, Sweet Sixteen",16
17,Iowa,0.9111
,"   7 seed, R32",17
18,Texas A&M,0.9095
,"   3 seed, Sweet Sixteen",18
19,Iowa St.,0.9061
,"   4 seed, Sweet Sixteen",19
20,Arizona,0.9043
,"   6 seed, R64",20
21,Gonzaga,0.9031
,"   11 seed, Sweet Sixteen",21
22,California,0.899
,"   4 seed, R64",22
25,Oregon,0.8923
,"   1 seed, Elite Eight",25
26,Utah,0.8875
,"   3 seed, R32",26
27,Maryland,0.8854
,"   5 seed, Sweet Sixteen",27
28,Seton Hall,0.8847
,"   6 seed, R64",28
29,VCU,0.878
,"   10 seed, R32",29
30,Butler,0.8777
,"   9 seed, R32",30
31,Baylor,0.8764
,"   5 seed, R64",31
32,Cincinnati,0.8708
,"   9 seed, R64",32
33,Pittsburgh,0.8633
,"   10 seed, R64",33
34,Connecticut,0.8618
,"   9 seed, R32",34
35,Syracuse,0.8603
,"   10 seed, Final Four",35
36,Texas,0.86
,"   6 seed, R64",36
39,USC,0.8471
,"   8 seed, R64",39
40,Saint Joseph's,0.8433
,"   8 seed, R32",40
41,Michigan,0.8397
,"   11 seed, R64",41
42,Dayton,0.8396
,"   7 seed, R64",42
44,Wisconsin,0.836
,"   7 seed, Sweet Sixteen",44
46,Providence,0.8267
,"   9 seed, R32",46
47,Notre Dame,0.8251
,"   6 seed, Elite Eight",47
51,Texas Tech,0.8202
,"   8 seed, R64",51
52,Yale,0.8119
,"   12 seed, R32",52
56,Colorado,0.8037
,"   8 seed, R64",56
62,Oregon St.,0.7849
,"   7 seed, R64",62
64,Hawaii,0.7825
,"   13 seed, R32",64
66,Northern Iowa,0.7763
,"   11 seed, R32",66
68,Little Rock,0.7717
,"   12 seed, R32",68
70,Stephen F. Austin,0.7537
,"   14 seed, R32",70
73,Tulsa,0.7474
,"   11 seed, R68",73
77,South Dakota St.,0.7452
,"   12 seed, R64",77
89,Temple,0.7242
,"   10 seed, R64",89
99,UNC Wilmington,0.7058
,"   13 seed, R64",99
100,Stony Brook,0.7015
,"   13 seed, R64",100
102,Cal St. Bakersfield,0.7001
,"   15 seed, R64",102
111,Iona,0.6607
,"   13 seed, R64",111
112,Chattanooga,0.6534
,"   12 seed, R64",112
113,Fresno St.,0.6433
,"   14 seed, R64",113
125,Middle Tennessee,0.5996
,"   15 seed, R32",125
135,Weber St.,0.5841
,"   15 seed, R64",135
139,Green Bay,0.5679
,"   14 seed, R64",139
146,UNC Asheville,0.5475
,"   15 seed, R64",146
148,Buffalo,0.5389
,"   14 seed, R64",148
173,Florida Gulf Coast,0.4796
,"   16 seed, R64",173
232,Southern,0.3354
,"   16 seed, R68",232
239,Austin Peay,0.3267
,"   16 seed, R64",239
269,Hampton,0.2655
,"   16 seed, R64",269
278,Fairleigh Dickinson,0.2394
,"   16 seed, R68",278
280,Holy Cross,0.2383
,"   16 seed, R64",280
