RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
3.0,Creighton,BE,120.8,96.6,57.4,46.2,15.4,11.1,26.2,24.7,24.7,15.7,78.4,78.5,59.7,45.7,36.6,31.7
5.0,Kentucky,SEC,122.7,102.6,57.2,49.6,14.2,15.9,28.9,30.3,30.4,33.5,77.2,71.5,54.7,49.4,40.9,33.2
6.0,Connecticut,BE,127.1,92.7,57.2,44.7,14.7,16.2,36.2,26.6,32.8,32.1,74.2,72.7,59.2,43.5,36.1,31.3
7.0,Gonzaga,WCC,123.0,98.3,57.1,46.8,14.1,16.1,33.3,27.5,31.3,25.4,72.8,72.4,58.3,44.6,36.3,33.8
8.0,Samford,SC,112.4,103.0,56.8,50.5,17.8,21.7,30.1,31.9,36.2,37.3,72.1,68.9,55.0,50.3,39.5,33.8
10.0,Alabama,SEC,124.9,101.7,56.3,49.4,15.9,15.6,34.8,30.2,35.9,40.2,77.6,73.9,57.4,50.9,36.7,31.3
12.0,Purdue,B10,126.8,94.9,56.2,47.3,16.3,13.8,37.9,24.2,42.4,23.0,72.1,72.5,53.4,47.5,40.9,31.4
13.0,Dayton,A10,116.7,100.3,56.2,48.3,16.0,15.9,26.4,28.6,36.7,21.9,74.0,72.8,53.4,48.5,39.9,32.0
14.0,Baylor,B12,122.5,100.8,55.7,51.4,17.7,17.0,35.0,26.9,40.2,31.2,73.5,73.4,53.5,52.1,39.5,33.4
15.0,Marquette,BE,119.3,95.2,55.5,49.7,14.3,21.1,25.8,31.0,25.2,27.0,70.7,75.4,56.6,49.3,36.0,33.6
16.0,Colorado,P12,118.3,98.4,55.4,49.7,18.1,15.2,32.0,24.7,35.1,27.3,78.4,71.1,54.0,50.6,39.1,32.1
18.0,Duke,ACC,121.8,95.9,55.3,48.7,14.2,17.1,31.9,25.8,34.3,27.7,72.1,68.0,54.3,49.0,38.1,32.1
19.0,South Dakota St.,Sum,108.1,105.1,55.2,51.3,16.6,16.4,24.4,25.1,30.1,27.0,71.8,74.2,55.6,49.5,36.4,35.5
24.0,Arizona,P12,121.0,92.9,54.9,48.2,16.1,18.1,35.6,23.4,36.3,25.9,71.8,71.3,54.4,47.4,37.3,33.0
25.0,BYU,B12,119.8,99.7,54.8,48.2,15.3,16.0,32.8,24.6,25.4,32.0,74.2,69.9,57.5,48.3,34.8,32.0
28.0,Florida Atlantic,Amer,116.5,102.4,54.7,49.6,16.2,16.4,33.5,29.3,34.8,27.3,72.2,72.7,56.0,49.2,35.1,33.6
29.0,Drake,MVC,114.7,100.0,54.7,50.8,13.8,17.5,24.1,22.5,32.3,31.3,75.6,70.5,54.8,51.3,36.4,33.3
31.0,Illinois,B10,126.9,101.8,54.4,47.9,15.0,12.3,36.2,26.4,37.1,26.4,74.4,71.9,55.3,46.5,35.2,34.3
36.0,Morehead St.,OVC,107.3,103.7,54.2,46.4,18.2,15.4,31.9,26.5,30.6,32.3,71.5,75.8,55.1,45.8,35.3,31.8
38.0,Auburn,SEC,120.9,93.0,54.2,43.7,15.1,18.1,32.9,30.2,38.3,41.5,75.0,73.4,55.1,42.9,35.2,30.2
39.0,Colorado St.,MWC,112.9,96.6,54.2,48.5,15.4,16.6,24.6,26.9,31.8,31.7,75.2,73.7,57.0,48.0,33.0,33.0
40.0,McNeese St.,Slnd,110.9,101.5,54.2,48.3,14.0,22.9,31.9,30.6,40.1,33.7,69.6,71.6,52.2,46.6,38.7,33.4
43.0,Utah St.,MWC,114.9,101.0,54.0,49.8,15.5,16.4,27.8,26.6,39.0,30.6,71.8,72.6,56.7,52.8,32.5,29.7
45.0,James Madison,SB,111.7,100.5,53.9,47.2,14.9,19.7,31.8,27.7,34.9,35.1,70.0,72.8,53.8,48.6,36.0,29.7
46.0,Clemson,ACC,117.1,97.6,53.8,48.0,14.9,13.8,27.4,25.7,31.1,31.8,79.0,73.6,54.3,46.9,35.4,33.1
51.0,Kansas,B12,113.7,94.1,53.5,48.3,16.5,16.5,25.7,26.5,32.5,28.5,72.2,69.4,54.7,45.8,33.6,34.6
57.0,Colgate,Pat,102.8,102.8,53.3,47.9,16.2,16.2,25.1,24.8,27.5,24.5,68.1,67.2,53.4,49.1,35.5,30.8
58.0,Nevada,MWC,115.1,97.8,53.2,48.4,15.2,17.4,27.3,26.9,45.0,34.2,72.1,70.1,52.5,49.1,36.4,31.6
62.0,Nebraska,B10,115.9,96.7,53.1,46.7,15.8,16.2,27.6,30.3,32.6,27.7,76.0,70.1,52.8,45.2,35.7,32.5
64.0,Texas,B12,116.6,96.4,53.0,48.1,16.9,18.8,29.9,30.1,30.2,34.0,75.7,72.1,53.1,47.0,35.4,33.5
68.0,Saint Mary's,WCC,115.5,93.9,52.8,45.1,16.0,16.7,38.7,22.3,28.0,33.4,67.2,71.6,52.7,43.8,35.3,32.3
69.0,Stetson,ASun,107.8,114.2,52.8,52.3,15.9,13.5,27.4,31.5,31.8,25.5,76.3,73.4,52.1,52.6,35.9,34.6
75.0,Northwestern,B10,115.5,98.6,52.6,51.5,13.4,18.8,25.8,27.8,29.2,39.3,75.2,72.1,49.2,51.4,39.0,34.5
78.0,Texas Tech,B12,116.8,99.1,52.6,49.2,16.5,17.0,30.2,30.3,34.2,27.2,78.0,71.4,51.6,49.8,35.9,32.2
90.0,College of Charleston,CAA,113.7,105.5,52.2,51.2,14.3,16.2,33.7,26.4,27.2,29.3,72.3,70.3,52.5,50.8,34.7,34.5
92.0,Wisconsin,B10,118.6,98.9,52.2,52.0,14.9,16.9,30.2,24.5,33.8,33.8,75.5,72.4,52.2,50.2,34.9,36.9
93.0,Iowa St.,B12,114.1,87.4,52.2,47.3,15.5,25.5,31.4,29.4,35.3,34.3,69.9,71.5,51.6,47.2,35.6,31.5
95.0,Yale,Ivy,109.9,101.0,52.1,50.4,14.3,16.2,27.8,24.2,27.8,29.4,70.5,73.9,51.9,49.4,35.0,34.5
107.0,Oregon,P12,114.2,99.5,51.9,51.5,14.7,17.8,28.6,27.3,32.0,32.3,71.9,72.3,52.6,51.0,33.8,34.9
109.0,Oakland,Horz,108.7,104.4,51.9,50.6,15.9,16.2,30.4,28.8,30.8,26.9,75.1,73.5,51.0,50.5,35.5,33.9
112.0,Washington St.,P12,112.9,96.5,51.8,47.2,16.4,15.7,32.9,25.0,31.6,32.3,70.4,73.1,52.2,46.5,33.9,32.5
113.0,Florida,SEC,120.6,100.2,51.8,49.3,15.7,14.5,37.3,28.8,38.4,34.8,71.5,71.2,51.8,49.5,34.5,32.6
117.0,Akron,MAC,105.1,101.8,51.7,49.1,16.9,16.7,29.2,25.6,32.7,29.4,72.4,69.6,54.7,50.8,31.7,30.7
119.0,North Carolina,ACC,118.4,93.9,51.7,46.4,14.1,14.8,32.6,23.3,36.7,28.2,75.6,74.0,50.6,45.8,35.8,31.7
121.0,Western Kentucky,CUSA,105.4,101.7,51.7,48.6,18.4,18.4,28.7,26.7,32.1,33.0,72.1,68.2,51.8,48.6,34.3,32.4
122.0,Vermont,AE,104.1,98.6,51.6,46.8,13.9,15.1,22.3,23.5,29.2,26.8,71.8,72.3,52.9,46.5,33.3,31.5
124.0,Michigan St.,B10,113.2,93.3,51.6,48.0,15.0,18.5,29.8,28.5,29.3,32.4,70.8,71.5,50.5,47.4,36.2,32.6
132.0,TCU,B12,114.0,98.0,51.5,50.7,18.0,20.6,35.9,28.4,35.0,35.4,73.1,70.4,50.8,51.3,35.4,33.0
139.0,Grand Canyon,WAC,111.0,98.8,51.4,45.8,17.8,19.8,34.1,30.2,46.7,34.1,74.9,70.6,52.1,44.5,33.5,32.1
140.0,Mississippi St.,SEC,112.2,95.4,51.4,48.0,18.9,18.4,35.4,27.9,37.4,31.8,67.0,75.2,53.4,50.3,32.2,29.8
142.0,Tennessee,SEC,115.3,90.2,51.3,45.0,14.9,18.8,32.8,28.1,34.4,35.4,75.0,71.0,51.6,44.0,33.9,30.9
156.0,North Carolina St.,ACC,115.0,101.1,50.9,50.2,13.7,17.6,28.8,29.2,32.7,31.4,73.6,73.5,50.3,49.4,34.7,34.4
159.0,South Carolina,SEC,114.9,100.0,50.9,48.4,15.5,14.9,32.8,27.9,31.8,31.6,71.1,73.4,50.9,47.3,33.9,33.9
185.0,New Mexico,MWC,114.1,95.7,50.5,48.1,14.0,19.3,33.5,27.0,33.2,33.4,71.6,74.0,51.1,49.2,32.7,30.7
186.0,Houston,B12,120.3,86.5,50.5,43.9,13.7,24.4,36.9,30.9,30.7,39.8,69.1,67.5,49.4,43.1,34.9,30.0
202.0,San Diego St.,MWC,112.4,93.6,50.2,47.1,16.1,18.1,32.8,27.9,37.3,33.4,73.3,70.3,51.7,47.7,31.8,30.8
215.0,UAB,Amer,113.1,106.4,50.0,51.0,16.8,16.2,35.4,31.3,40.6,31.5,74.3,72.4,50.1,50.2,33.1,34.8
219.0,Duquesne,A10,106.9,96.8,50.0,48.5,17.4,19.2,29.8,30.3,32.5,35.0,71.6,71.1,49.4,49.0,33.9,31.8
250.0,Longwood,BSth,104.0,105.5,49.1,51.9,18.3,19.4,36.3,25.9,39.5,36.2,69.3,69.7,48.4,51.4,34.0,35.1
265.0,Long Beach St.,BW,105.1,107.5,48.5,51.1,17.1,18.3,33.2,29.4,37.8,32.3,70.8,72.4,49.3,49.9,30.9,35.1
278.0,Grambling St.,SWAC,98.8,106.3,48.1,49.7,20.0,18.8,27.9,32.8,38.8,33.8,70.9,72.8,46.9,48.8,34.0,34.3
340.0,Texas A&M,SEC,117.6,99.9,45.7,50.5,14.1,16.7,42.2,27.9,38.6,31.9,70.7,71.4,46.8,50.3,29.3,33.8
348.0,Wagner,NEC,96.1,105.2,45.1,48.8,15.7,16.8,28.8,27.7,26.4,30.2,70.0,68.6,43.1,51.0,32.2,30.4
353.0,Saint Peter's,MAAC,96.8,101.1,44.6,47.1,19.2,20.4,34.5,29.9,38.0,42.5,71.8,70.5,42.3,46.6,33.2,32.1
